# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalContentionQuotaSpent,1742024926435000000,1742024986478000000,20
IndexesFlusher.totalFlushes,1742024926435000000,1742024986478000000,59
Indexes.entries.lookupDurationMaxMs,1742024926435000000,1742024986478000000,0.0
Indexes.entries.lookupDuration90PMs,1742024926435000000,1742024986478000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1742024926435000000,1742024986478000000,0.0
Indexes.stubs.lookupDurationAvgMs,1742024926435000000,1742024986478000000,0.0
IndexesFlusher.totalFlushesRetried,1742024926435000000,1742024986478000000,1
Indexes.allKeys.lookupDurationAvgMs,1742024926435000000,1742024986478000000,0.0
Indexes.allKeys.lookupDuration90PMs,1742024926435000000,1742024986478000000,0.0
Indexes.entries.lookups,1742024926435000000,1742024986478000000,0.0
IndexesFlusher.totalFlushingTimeUs,1742024926435000000,1742024986478000000,378115
Indexes.stubs.lookupDuration90PMs,1742024926435000000,1742024986478000000,0.0
Indexes.stubs.lookupDurationMaxMs,1742024926435000000,1742024986478000000,0.0
Indexes.stubs.lookups,1742024926435000000,1742024986478000000,0.0
Indexes.allKeys.lookups,1742024926435000000,1742024986478000000,0.0
Indexes.entries.lookupDurationAvgMs,1742024926435000000,1742024986478000000,0.0
FileNameCache.totalMisses,1742024926435000000,1742024986478000000,68602
FileNameCache.queries,1742024926435000000,1742024986478000000,1060664
FlushQueue.queueSizeAvg,1742024926435000000,1742024986478000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1742024926435000000,1742024986478000000,4140294253
AWTEventQueue.eventsDispatched,1742024926435000000,1742024986478000000,2
NonBlockingReadAction.finalizedExecutionsCount,1742024926435000000,1742024986478000000,19
AWTEventQueue.dispatchTime90PNs,1742024926435000000,1742024986478000000,107519
FlushQueue.waitingTimeAvgNs,1742024926435000000,1742024986478000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1742024926435000000,1742024986478000000,199105
NonBlockingReadAction.failedExecutionsCount,1742024926435000000,1742024986478000000,1
FlushQueue.executionTimeAvgNs,1742024926435000000,1742024986478000000,0.0
ReadAction.executionsCount,1742024926435000000,1742024986478000000,94677
AWTEventQueue.dispatchTimeAvgNs,1742024926435000000,1742024986478000000,96000.0
FlushQueue.queueSize90P,1742024926435000000,1742024986478000000,0
FlushQueue.tasksExecuted,1742024926435000000,1742024986478000000,0
